"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Ensures important exception patterns are defined in categories.json.","2","Verify important regex patterns","","2026-07-12","passed","2026-07-12","","com.shopkart.allureReport.ReportingValidationTest","com.shopkart.allureReport.ReportingValidationTest","shouldContainExpectedRegexPatterns"
"Ensures the Allure categories configuration file is present.","2","Verify categories.json exists","","2026-07-12","passed","2026-07-12","","com.shopkart.allureReport.ReportingValidationTest","com.shopkart.allureReport.ReportingValidationTest","shouldContainCategoriesFile"
"Ensures all required Allure reporting categories are configured.","36","Verify required reporting categories","","2026-07-12","passed","2026-07-12","","com.shopkart.allureReport.ReportingValidationTest","com.shopkart.allureReport.ReportingValidationTest","shouldContainRequiredCategories"
"Ensures specific categories appear before the fallback category.","3","Verify category ordering","","2026-07-12","passed","2026-07-12","","com.shopkart.allureReport.ReportingValidationTest","com.shopkart.allureReport.ReportingValidationTest","shouldPlaceSpecificCategoriesBeforeFallback"
